stand_id,stand_ref,to_18L_m,to_36R_m,to_01_m,to_19_m,to_18R_m,to_36L_m
248246501,551,1932.2,2784.7,3496.6,2278.0,3225.5,5879.3
1055722493,504,2643.2,3424.8,2790.7,2071.7,3977.4,6631.1
1055722511,501,2483.7,3357.9,2892.5,1912.2,3817.8,6471.6
1055722530,506,2806.3,3276.1,2642.0,2234.8,4140.4,6628.6
1055722723,503,2576.9,3435.2,2801.1,2005.4,3911.1,6564.8
1055722767,536,2092.9,2967.1,3322.7,2140.5,3427.0,6080.8
1055722865,502,2556.8,3431.1,2878.1,1985.3,3891.0,6544.8
1055722971,505,2797.4,3267.3,2633.2,2225.9,4131.6,6619.8
1055722988,525,2579.7,1912.3,2912.7,3186.4,3429.6,5242.1
1056970781,208,2871.2,2412.4,4397.6,4043.3,1416.7,4315.4
1056971625,205,3201.2,2742.4,4727.6,4373.3,1455.5,4354.2
1056972079,214,2617.5,2081.2,4066.5,3712.2,1750.6,4649.3
2119381316,507,2823.4,3235.2,2601.1,2251.9,4157.6,6587.7
2119381319,532,2391.9,2416.7,3417.1,2693.6,3336.7,5574.4
2119381320,515,3917.0,2288.3,1765.4,2883.5,4450.4,5640.9
2119381323,529,2565.2,2205.6,3206.0,2905.3,3441.4,5535.4
2119381324,552,1851.9,2620.9,3727.0,2526.7,3103.9,5715.4
2119381325,555,2369.7,2317.9,3334.8,2789.5,3245.9,5412.4
2119381326,527,2695.6,2062.0,3062.4,3035.7,3571.8,5391.8
2119381327,564,2738.4,3282.5,2648.4,2167.0,4072.6,6635.0
2119381328,560,2552.6,3464.4,2826.0,1660.4,3924.3,6578.0
2119381329,561,2650.2,3561.9,2846.3,1757.9,4021.8,6675.6
2119381330,554,2315.3,2377.9,3431.2,2689.5,3193.9,5472.5
2119381331,522,3220.1,1728.0,2372.7,3709.5,3651.8,5057.8
2119381332,526,2626.5,1983.8,2984.2,3105.7,3501.1,5313.6
2119381333,512,3150.2,2904.9,2270.8,2467.6,4484.4,6257.4
2119381336,528,2642.2,2121.3,3121.7,2982.3,3518.5,5451.1
2119381338,514,3324.3,2721.3,2087.2,2389.9,4658.5,6073.8
2119381339,513,3249.6,2799.9,2165.8,2468.5,4583.8,6152.4
