aircraft_type,aircraft_class,stand_id,pier,contact_remote,stand_icao_code,allow_hard,allow_soft,penalty_tier,reason,special_tag,stand_attribute
333,unknown,301,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,302,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,303,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,304,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,305,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,306,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,307,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,308,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,309,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,310,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,311,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,312,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,313,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,314,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,315,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,316,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,317,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,318,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,319,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,320,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,321,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,322,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,323,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,324,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,325,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,326,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,327,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,328,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,329,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,330,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,331,T3C,contact,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,332,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,333,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,334,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,351,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,352,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,353,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,354,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,355,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,356,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,357,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,358,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,359,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,360,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,361,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,371,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,372,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,373,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,381,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,382,T3C,remote,C,0,1,medium,Unknown type: conservative allow on C/D,,domestic
333,unknown,401,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,402,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,403,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,404,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,405,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,406,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,407,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,408,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,409,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,410,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,411,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,412,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,413,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,451,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,452,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,453,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,454,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,455,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,456,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,457,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,458,T3D,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,459,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,460,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,461,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,462,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,463,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,464,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,465,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,466,T3D,remote,E,0,0,forbid,Unknown type on E/F not allowed by default,,domestic
333,unknown,501,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,502,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,503,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,504,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,505,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,506,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,507,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,508,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,509,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,510,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,511,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,512,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,513,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,514,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,515,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,516,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,517,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,518,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,519,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,mixed
333,unknown,520,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,international
333,unknown,521,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,international
333,unknown,522,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,international
333,unknown,523,T3E,contact,E,0,0,forbid,Unknown type on E/F not allowed by default,,international
