,18L,36R,01,19,18R,36L
551,2063.562550629752,2740.8313395079163,3543.979735247632,2342.4152889945767,5865.159582593397,3237.866986288705
504,2668.790232819652,3439.326938243428,2812.861884982632,2075.8579081714706,6654.926993584772,3883.990826940416
501,2509.2520038362786,3372.4528226044445,2914.703777207997,1916.319679188097,6495.388764601398,3724.452597957042
506,2785.403585868792,3318.373268784455,2691.9082155236583,2192.471261220609,6647.266422552409,4000.604179989555
503,2602.4919352064794,3449.757732017999,2823.2926787572023,2009.5596105582977,6588.628695971598,3817.692529327243
536,2118.4646083456314,2981.6654271137973,3344.880047517723,2144.650460913248,6104.601369110752,3333.665202466395
502,2582.417694605658,3445.618513373824,2900.318571563743,1989.485369957477,6568.554455370777,3797.6182887264217
505,2713.9654949475093,3338.0427254613696,2711.577672200573,2121.033170299327,6666.935879229322,3929.166089068273
525,2605.255560770287,1926.8674444674025,2934.903883953046,3189.203770800004,5255.76059823536,3336.2414538252697
208,3122.861548259501,2652.927666253027,4645.826094074046,4232.868591587712,4274.06510674942,1258.1437329309567
205,3226.825468637161,2756.891586630687,4749.790014451705,4336.832511965372,4378.02902712708,1362.1076533086166
214,2644.171269617673,1899.2566399794885,4054.867668053623,3641.91016556729,4612.078720840612,1840.782205609613
507,2849.005300742775,3249.6899331318778,2623.224879871081,2256.0729760945933,6578.583086899831,4064.2058948635386
532,2417.5339333315865,2431.1864120861646,3439.2228515718084,2696.386671696411,5598.183120254015,3243.36928863378
515,3651.318993824192,2379.15043024211,1752.6853769813129,2610.3208908751867,5708.043584010066,4433.30523157062
529,2610.032839842504,2190.934534509753,3198.9709739953964,2927.342934238999,5519.827688277712,3367.301366836336
552,2127.1982428731044,2681.9912732161342,3607.615427490984,2406.050981237929,5806.319516301615,3301.5026785320574
555,2395.305912245661,2332.40272661249,3356.9224874349684,2792.2646307181126,5436.234132041221,3152.5744392394936
527,2721.168866248475,2076.5663023628717,3084.602741848515,3038.4789606449704,5405.459456130829,3478.4373932423077
564,2795.4677044993205,3254.261388340946,2627.7963350801488,2202.5353798511387,6583.154542108899,4010.668298620084
560,2510.6711540830383,3373.871972851204,2919.2608940641994,1917.738829434857,6496.807914848158,3725.871748203802
561,2587.9664956012966,3451.1673143694625,2856.14489833149,1995.034170953115,6574.103256366415,3803.16708972206
554,2340.919915133232,2392.4375308962094,3453.3792265723064,2692.291611755071,5496.268936324939,3100.4942154900896
522,3245.649004151565,1742.5581831027473,2394.838679230413,3727.5387108251257,5071.451336870708,3558.416747589564
526,2652.1065425075817,1998.380656310056,3006.4170957957,3108.533615906358,5327.273810078013,3407.754665667924
512,3195.919170419722,2883.894837750672,2257.429784489875,2505.850626368767,6212.787991518628,4411.119764540484
528,2667.8243465243686,2135.805492780342,3143.841932265985,2985.134440920864,5464.6986465483005,3425.092873518201
514,3349.936191234812,2735.817859898652,2109.352806637856,2408.0034270985016,6064.711013666609,4565.136785355572
513,3275.1852440416087,2814.3920099143443,2187.926956653548,2486.577577114193,6143.285163682301,4490.38583816237
509,3029.234336475003,3070.2836334203807,2443.818580159584,2394.4042075604907,6399.176787188335,4244.434930595767
533,2352.1269727226445,2502.748702634029,3510.785142119673,2630.979711087469,5627.076945719509,3231.3022248846587
553,2190.463909489634,2620.1749971492995,3628.2114366349433,2469.3166478544586,5744.50324023478,3348.728519399929
523,3172.110978616235,1669.0201575674175,2459.7327943716364,3792.432825966349,4997.913311335377,3484.878722054233
517,3929.866598044077,2189.0139664826743,1924.9576249991533,3038.9728234078257,5517.907120250629,4242.634341482075
519,3862.701605595108,2121.8489740337054,2024.641476451807,3138.656674860479,5450.74212780166,4175.4693490331065
516,3999.1417951219687,2258.2891635605656,1856.9168383338215,2970.932036742493,5587.182317328521,4311.909538559968
520,3344.422165547947,1841.331344499129,2322.783633167036,3655.483664761749,5170.224498267089,3657.189908985945
524,2782.890759805502,1602.1209736464525,2610.157413132096,3458.409595198665,4931.014127414408,3095.6585032435005
535,2198.159551519901,2645.380497307452,3653.416936793096,2477.0122898847253,5769.708740392933,3372.4639871788536
556,2610.188611675489,2130.983190615967,3139.0196301016103,2927.4987060719845,5459.876344383925,3367.457138669321
518,3861.2797163873247,2120.427084825922,1995.984645525189,3109.999843933861,5449.320238593877,4174.047459825323
562,2639.435580295329,3409.972285719105,2783.507232458309,2046.503255647148,6625.572341060449,3854.6361744160927
565,2875.8903538782074,3184.042306769712,2557.5772535089154,2282.9580292300257,6512.935460537666,4091.090947998971
510,3091.953166398337,3004.962003325396,2378.4969500646,2451.0413518041505,6333.855157093351,4307.153760519101
521,3314.103620369994,1811.0127993211768,2325.7398290658766,3658.439860660589,5139.905953089137,3626.871363807993
530,2553.369152867436,2259.8614635181693,3267.897903003813,2870.679247263931,5588.754617286128,3310.637679861268
534,2290.909074732521,2566.3520533518467,3574.388492837491,2569.761813097345,5690.680296437327,3294.9055756024763
508,2935.2588033286547,3156.23228598942,2529.767232728623,2342.326478680473,6485.125439757373,4150.459397449418
511,3144.9768886788047,2946.2227577634367,2319.75770450264,2454.9083446278496,6275.115911531392,4360.177482799567
531,2504.3179799632712,2352.202223866878,3360.2386633525216,2783.170718328096,5585.945284397484,3264.7754159103174
563,2734.6375491180747,3330.6745072199446,2704.209453959148,2141.7052244698925,6659.567660987897,3949.8381432388383
322,1039.4682418029229,3773.244851036021,4448.4599641319055,1750.0378816888665,6859.303401718762,4026.085187736656
457,1756.2525973596237,3027.7170850396587,3680.5504861611016,2030.8042545531816,6131.548490468391,3348.211141659691
461,1954.9867907767136,3749.428806983734,3485.475771604887,1320.5629151779203,6853.260212412466,4081.14257276409
317,1810.394662654507,4101.015159283645,3829.673763981957,923.28474176642,7204.846564712378,4385.0974505309405
323,952.7746483581228,3817.42233064164,4492.637443737526,1794.215361294487,6903.480881324383,4070.262667342276
330,757.9723021407389,4132.849507698067,4810.050232542176,2111.628150099138,7218.90805838081,4385.689844398702
318,1802.9859929483152,4093.606489577453,3822.265094275765,980.1417680011572,7197.437895006186,4377.688780824749
463,2247.542193712692,3854.5849267976014,3179.8114612737004,1240.4998680889655,6977.520868794556,4206.5847021502
